phase,model,metrics_used,precision,recall,f1
Test,Neural Net,synonym_metric,0.53,0.35451505016722407,0.4248496993987976
CV,Logistic Regression,keywords_metric,0.3895378364652108,0.6418410041841004,0.48482932996207334
CV,Random Forest,keywords_metric,0.32966101694915256,0.32552301255230126,0.327578947368421
CV,XGBoost,keywords_metric,0.35330396475770925,0.6711297071129707,0.4629148629148629
CV,LightGBM,keywords_metric,0.35404814004376367,0.6769874476987447,0.4649425287356322
CV,Neural Net,keywords_metric,0.3902439024390244,0.013389121338912133,0.025889967637540454
Test,Logistic Regression,keywords_metric,0.37449392712550605,0.6187290969899666,0.4665825977301387
Test,Random Forest,keywords_metric,0.2764505119453925,0.2709030100334448,0.27364864864864863
Test,XGBoost,keywords_metric,0.3519163763066202,0.6755852842809364,0.4627720504009164
Test,LightGBM,keywords_metric,0.35727109515260325,0.6655518394648829,0.4649532710280374
Test,Neural Net,keywords_metric,0.6363636363636364,0.046822742474916385,0.08722741433021806
CV,Logistic Regression,author_metric,0.27601809954751133,0.30627615062761504,0.2903609678698929
CV,Random Forest,author_metric,0.39267015706806285,0.4393305439330544,0.4146919431279621
CV,XGBoost,author_metric,0.28844444444444445,0.5430962343096234,0.37677793904209
CV,LightGBM,author_metric,0.3049261083743842,0.5179916317991632,0.3838759689922481
CV,Neural Net,author_metric,0.7480916030534351,0.08200836820083682,0.1478129713423831
Test,Logistic Regression,author_metric,0.2610062893081761,0.27759197324414714,0.26904376012965964
Test,Random Forest,author_metric,0.359375,0.38461538461538464,0.3715670436187399
Test,XGBoost,author_metric,0.30919765166340507,0.5284280936454849,0.39012345679012345
Test,LightGBM,author_metric,0.3313953488372093,0.5719063545150501,0.4196319018404908
Test,Neural Net,author_metric,0.6875,0.07357859531772576,0.13293051359516617
CV,Logistic Regression,"name_metric,paragraph_metric",0.5977011494252874,0.9138075313807531,0.7227001985440106
CV,Random Forest,"name_metric,paragraph_metric",0.7573913043478261,0.7288702928870293,0.7428571428571429
CV,XGBoost,"name_metric,paragraph_metric",0.7416998671978752,0.9347280334728033,0.8271010736764162
CV,LightGBM,"name_metric,paragraph_metric",0.7422133863485753,0.9372384937238494,0.8284023668639053
CV,Neural Net,"name_metric,paragraph_metric",0.7860882572924458,0.8794979079497908,0.830173775671406
Test,Logistic Regression,"name_metric,paragraph_metric",0.5982905982905983,0.9364548494983278,0.7301173402868318
Test,Random Forest,"name_metric,paragraph_metric",0.725752508361204,0.725752508361204,0.725752508361204
Test,XGBoost,"name_metric,paragraph_metric",0.7171717171717171,0.9498327759197325,0.8172661870503597
Test,LightGBM,"name_metric,paragraph_metric",0.7153465346534653,0.9665551839464883,0.8221906116642959
Test,Neural Net,"name_metric,paragraph_metric",0.7741935483870968,0.882943143812709,0.825
CV,Logistic Regression,"name_metric,language_metric",0.5623052959501558,0.906276150627615,0.694008330663249
CV,Random Forest,"name_metric,language_metric",0.7395561357702349,0.9481171548117154,0.830949761642831
CV,XGBoost,"name_metric,language_metric",0.7316129032258064,0.9489539748953975,0.8262295081967214
CV,LightGBM,"name_metric,language_metric",0.7254150702426565,0.9506276150627615,0.8228902571532054
CV,Neural Net,"name_metric,language_metric",0.7569296375266524,0.891213389121339,0.8186010760953113
Test,Logistic Regression,"name_metric,language_metric",0.5679012345679012,0.9230769230769231,0.7031847133757961
Test,Random Forest,"name_metric,language_metric",0.7225,0.9665551839464883,0.82689556509299
Test,XGBoost,"name_metric,language_metric",0.7160493827160493,0.9698996655518395,0.8238636363636364
Test,LightGBM,"name_metric,language_metric",0.7196029776674938,0.9698996655518395,0.8262108262108262
Test,Neural Net,"name_metric,language_metric",0.7417582417582418,0.903010033444816,0.8144796380090498
CV,Logistic Regression,"name_metric,synonym_metric",0.5756951596292482,0.9355648535564853,0.712782913611731
CV,Random Forest,"name_metric,synonym_metric",0.7377577319587629,0.9581589958158996,0.833636694575901
CV,XGBoost,"name_metric,synonym_metric",0.7214022140221402,0.9815899581589959,0.8316199929103155
CV,LightGBM,"name_metric,synonym_metric",0.7171903881700554,0.9740585774058578,0.8261178140525195
CV,Neural Net,"name_metric,synonym_metric",0.6800254452926209,0.8945606694560669,0.7726779906035417
Test,Logistic Regression,"name_metric,synonym_metric",0.5568862275449101,0.9331103678929766,0.6975
Test,Random Forest,"name_metric,synonym_metric",0.6958637469586375,0.9565217391304348,0.8056338028169014
Test,XGBoost,"name_metric,synonym_metric",0.6824644549763034,0.9632107023411371,0.7988904299583911
Test,LightGBM,"name_metric,synonym_metric",0.6790697674418604,0.9765886287625418,0.8010973936899863
Test,Neural Net,"name_metric,synonym_metric",0.6460807600950119,0.9096989966555183,0.7555555555555555
CV,Logistic Regression,"name_metric,keywords_metric",0.5862970711297071,0.9380753138075314,0.7215963952365626
CV,Random Forest,"name_metric,keywords_metric",0.7420212765957447,0.700418410041841,0.720619888075764
CV,XGBoost,"name_metric,keywords_metric",0.727741935483871,0.9439330543933054,0.8218579234972677
CV,LightGBM,"name_metric,keywords_metric",0.7249357326478149,0.9439330543933054,0.8200654307524536
CV,Neural Net,"name_metric,keywords_metric",0.764792899408284,0.8652719665271966,0.811935610522183
Test,Logistic Regression,"name_metric,keywords_metric",0.5679513184584178,0.9364548494983278,0.7070707070707071
Test,Random Forest,"name_metric,keywords_metric",0.7013422818791947,0.6989966555183946,0.7001675041876047
Test,XGBoost,"name_metric,keywords_metric",0.707196029776675,0.9531772575250836,0.811965811965812
Test,LightGBM,"name_metric,keywords_metric",0.7022332506203474,0.9464882943143813,0.8062678062678063
Test,Neural Net,"name_metric,keywords_metric",0.7391304347826086,0.8528428093645485,0.7919254658385093
CV,Logistic Regression,"name_metric,author_metric",0.5979926043317485,0.9472803347280335,0.7331606217616581
CV,Random Forest,"name_metric,author_metric",0.7493775933609959,0.7556485355648536,0.7525
CV,XGBoost,"name_metric,author_metric",0.6923076923076923,0.9489539748953975,0.800564772326156
CV,LightGBM,"name_metric,author_metric",0.6937537901758641,0.9573221757322176,0.8045007032348804
CV,Neural Net,"name_metric,author_metric",0.7037990985189955,0.9146443514644351,0.7954876273653566
Test,Logistic Regression,"name_metric,author_metric",0.5760649087221096,0.9498327759197325,0.7171717171717171
Test,Random Forest,"name_metric,author_metric",0.7284345047923323,0.7625418060200669,0.7450980392156863
Test,XGBoost,"name_metric,author_metric",0.6544622425629291,0.9565217391304348,0.7771739130434783
Test,LightGBM,"name_metric,author_metric",0.6537585421412301,0.959866220735786,0.7777777777777778
Test,Neural Net,"name_metric,author_metric",0.6633165829145728,0.882943143812709,0.757532281205165
CV,Logistic Regression,"paragraph_metric,language_metric",0.4228126431516262,0.7723849372384938,0.5464772054470101
CV,Random Forest,"paragraph_metric,language_metric",0.40402347024308466,0.40334728033472805,0.4036850921273032
CV,XGBoost,"paragraph_metric,language_metric",0.4104783599088838,0.7539748953974895,0.5315634218289086
CV,LightGBM,"paragraph_metric,language_metric",0.40540540540540543,0.7782426778242678,0.5331040412725709
CV,Neural Net,"paragraph_metric,language_metric",0.5819295558958653,0.3179916317991632,0.41125541125541126
Test,Logistic Regression,"paragraph_metric,language_metric",0.463855421686747,0.7725752508361204,0.5796737766624843
Test,Random Forest,"paragraph_metric,language_metric",0.40492957746478875,0.38461538461538464,0.39451114922813035
Test,XGBoost,"paragraph_metric,language_metric",0.4291044776119403,0.7692307692307693,0.5508982035928144
Test,LightGBM,"paragraph_metric,language_metric",0.42723880597014924,0.7658862876254181,0.548502994011976
Test,Neural Net,"paragraph_metric,language_metric",0.5925925925925926,0.26755852842809363,0.3686635944700461
CV,Logistic Regression,"paragraph_metric,synonym_metric",0.44226044226044225,0.7531380753138075,0.5572755417956656
CV,Random Forest,"paragraph_metric,synonym_metric",0.7277726856095326,0.6644351464435146,0.694663167104112
CV,XGBoost,"paragraph_metric,synonym_metric",0.6648793565683646,0.8301255230125523,0.7383699292891701
CV,LightGBM,"paragraph_metric,synonym_metric",0.6491228070175439,0.8669456066945607,0.7423862414905052
CV,Neural Net,"paragraph_metric,synonym_metric",0.6619718309859155,0.4326359832635983,0.5232793522267206
Test,Logistic Regression,"paragraph_metric,synonym_metric",0.4553014553014553,0.7324414715719063,0.5615384615384615
Test,Random Forest,"paragraph_metric,synonym_metric",0.7202797202797203,0.6889632107023411,0.7042735042735043
Test,XGBoost,"paragraph_metric,synonym_metric",0.6268656716417911,0.842809364548495,0.7189728958630528
Test,LightGBM,"paragraph_metric,synonym_metric",0.6675126903553299,0.8795986622073578,0.759018759018759
Test,Neural Net,"paragraph_metric,synonym_metric",0.6802325581395349,0.391304347826087,0.4968152866242038
CV,Logistic Regression,"paragraph_metric,keywords_metric",0.41735336888027147,0.7205020920502092,0.5285451197053407
CV,Random Forest,"paragraph_metric,keywords_metric",0.44607843137254904,0.30460251046025105,0.36200895077076084
CV,XGBoost,"paragraph_metric,keywords_metric",0.3907793633369923,0.59581589958159,0.47199204507789194
CV,LightGBM,"paragraph_metric,keywords_metric",0.3849431818181818,0.6803347280334728,0.49168430601753854
CV,Neural Net,"paragraph_metric,keywords_metric",0.5717213114754098,0.23347280334728032,0.3315508021390374
Test,Logistic Regression,"paragraph_metric,keywords_metric",0.42355371900826444,0.68561872909699,0.5236270753512133
Test,Random Forest,"paragraph_metric,keywords_metric",0.41545893719806765,0.28762541806020064,0.33992094861660077
Test,XGBoost,"paragraph_metric,keywords_metric",0.39828693790149894,0.6220735785953178,0.4856396866840731
Test,LightGBM,"paragraph_metric,keywords_metric",0.4058252427184466,0.6989966555183946,0.5135135135135135
Test,Neural Net,"paragraph_metric,keywords_metric",0.5555555555555556,0.23411371237458195,0.32941176470588235
CV,Logistic Regression,"paragraph_metric,author_metric",0.4218289085545723,0.7179916317991631,0.5314338804583463
CV,Random Forest,"paragraph_metric,author_metric",0.4938423645320197,0.33556485355648535,0.3996013951170902
CV,XGBoost,"paragraph_metric,author_metric",0.41313432835820896,0.5790794979079498,0.48222996515679445
CV,LightGBM,"paragraph_metric,author_metric",0.4183727034120735,0.6669456066945607,0.5141935483870967
CV,Neural Net,"paragraph_metric,author_metric",0.6259259259259259,0.2828451882845188,0.38962536023054756
Test,Logistic Regression,"paragraph_metric,author_metric",0.44,0.6989966555183946,0.5400516795865633
Test,Random Forest,"paragraph_metric,author_metric",0.5561224489795918,0.36454849498327757,0.4404040404040404
Test,XGBoost,"paragraph_metric,author_metric",0.43896713615023475,0.6254180602006689,0.5158620689655172
Test,LightGBM,"paragraph_metric,author_metric",0.42248062015503873,0.7290969899665551,0.5349693251533743
Test,Neural Net,"paragraph_metric,author_metric",0.6371681415929203,0.2408026755852843,0.34951456310679613
CV,Logistic Regression,"language_metric,synonym_metric",0.39643463497453313,0.7815899581589958,0.5260490002816108
CV,Random Forest,"language_metric,synonym_metric",0.6941992433795713,0.9213389121338912,0.7918015102481122
