name_metric,paragraph_metric,language_metric,synonym_metric,author_metric
0.92,0.13467803597450256,1.0,0.728888888888889,0.541226309921962
0.8914285714285715,0.20972591638565063,1.0,0.7849206349206349,0.5647200689061155
0.8914285714285715,0.32422277331352234,1.0,0.7849206349206349,0.43
0.9818181818181818,0.3118339776992798,1.0,0.807142857142857,0.43
0.9818181818181818,0.02727269008755684,1.0,0.807142857142857,0.4924966261808367
0.8181818181818182,0.37839826941490173,0.0,0.7271284271284272,0.34121212121212124
1.0,0.20925448834896088,1.0,0.7507407407407407,0.6111111111111112
1.0,0.12978731095790863,1.0,0.7507407407407407,0.5085185185185185
1.0,0.4384946823120117,1.0,0.7507407407407407,0.5244444444444444
1.0,0.12978731095790863,1.0,0.7507407407407407,0.5085185185185185
0.92,0.3007974624633789,0.0,0.728888888888889,0.43
1.0,0.3884827196598053,1.0,0.7507407407407407,0.43
